id,pergunta,resposta
1,Como agendar um Pix?,"Use o menu de agendamento e selecione a data desejada."
2,O que fazer se o saldo for insuficiente?,"O sistema notificará e não executará o Pix agendado. Certifique-se de que há saldo disponível antes da data agendada."
3,Como cancelar um agendamento?,"Acesse a lista de agendamentos e clique em cancelar ao lado do item desejado. O valor será estornado automaticamente."
4,Como reemitir um comprovante?,"Acesse o histórico e clique em 'Reemitir Comprovante'. O novo comprovante será enviado para seu e-mail."
5,Como alterar a data de um Pix agendado?,"Cancele o agendamento anterior e crie um novo com a data desejada."
6,Posso agendar um Pix para o mesmo dia?,"Sim, desde que o horário de execução seja posterior ao horário atual."
7,Como visualizar todos os Pix agendados?,"Acesse o menu 'Meus Agendamentos' no aplicativo para ver todos os agendamentos futuros e passados."
8,Receberei notificação quando o Pix for executado?,"Sim, você receberá uma notificação push e um e-mail assim que o Pix for realizado."
9,É possível editar um Pix já agendado?,"Não, é necessário cancelar e criar um novo agendamento com as informações corretas."
10,Quais bancos aceitam Pix agendado?,"Todos os bancos participantes do sistema Pix aceitam agendamento, consulte seu banco para detalhes."
11,Como saber se o Pix agendado foi realizado?,"Verifique o status no histórico de transações. Se realizado, aparecerá como 'Concluído'."
12,Existe limite de valor para Pix agendado?,"Sim, o mesmo limite do Pix tradicional se aplica. Consulte seu banco para valores específicos."
13,Posso agendar Pix para contas de outros bancos?,"Sim, desde que o destinatário aceite Pix e a conta esteja habilitada para recebimento."
14,Como corrigir um erro no valor do Pix agendado?,"Cancele o agendamento e crie um novo com o valor correto. Não é possível editar um Pix já agendado."
15,Pix agendado pode ser parcelado?,"Não, cada agendamento corresponde a uma única transferência. Para parcelar, crie múltiplos agendamentos."
16,Como funciona o estorno de Pix agendado?,"Após a execução, o estorno segue as regras do Pix tradicional. Consulte seu banco para detalhes."
17,Posso agendar Pix para datas muito futuras?,"Sim, desde que dentro do limite permitido pelo banco. Consulte o prazo máximo com sua instituição."
18,Como cancelar todos os Pix agendados?,"Cancele individualmente cada agendamento na lista de agendamentos do aplicativo."
19,Pix agendado pode ser feito para pessoa jurídica?,"Sim, desde que a conta aceite Pix e esteja habilitada para recebimento."
20,Existe taxa para Pix agendado?,"Depende do banco, consulte sua instituição financeira para saber se há cobrança de taxas."
21,Como corrigir um erro no destinatário do Pix agendado?,"Cancele o agendamento e crie um novo com os dados corretos do destinatário."
22,Como saber se o Pix agendado foi cancelado?,"O status do agendamento mudará para 'Cancelado' no histórico de transações."
23,Posso reagendar um Pix que foi cancelado?,"Sim, basta criar um novo agendamento com as informações desejadas."
24,Como consultar o comprovante de um Pix agendado?,"Acesse o histórico, selecione o Pix desejado e clique em 'Ver Comprovante'."
25,Como alterar o valor de um Pix agendado?,"Cancele o agendamento e crie um novo com o valor correto."
26,Pix agendado pode ser feito para pessoa física e jurídica?,"Sim, desde que a conta de destino aceite Pix."
27,Como saber se o destinatário recebeu o Pix agendado?,"Verifique o status como 'Concluído' e confirme com o destinatário."
28,Existe horário limite para agendar um Pix?,"Sim, depende do banco. Consulte sua instituição para horários de agendamento."
29,Como funciona a confirmação de agendamento?,"Você receberá uma mensagem de confirmação no app e por e-mail após agendar."
30,Posso cancelar um Pix agendado no mesmo dia?,"Sim, desde que o cancelamento seja feito antes do horário de execução."
31,Como consultar o histórico de Pix agendados?,"Acesse o menu 'Histórico' no aplicativo e filtre por agendamentos."
32,Pix agendado pode ser feito para contas internacionais?,"Não, o Pix agendado só está disponível para contas nacionais."
33,Como saber se o Pix agendado foi recusado?,"O status aparecerá como 'Recusado' no histórico e você será notificado."
34,Posso agendar Pix para CPF e CNPJ?,"Sim, desde que a conta de destino aceite Pix."
35,Como alterar o banco de origem do Pix agendado?,"Cancele o agendamento e crie um novo selecionando o banco desejado."
36,Pix agendado pode ser feito para contas poupança?,"Sim, desde que a conta aceite Pix."
37,Como saber o motivo de um Pix agendado não realizado?,"Verifique o status e a mensagem de erro no histórico de transações."
38,Posso agendar Pix para mais de uma pessoa ao mesmo tempo?,"Não, cada agendamento é individual. Crie múltiplos agendamentos se necessário."
39,Como receber comprovante de Pix agendado por e-mail?,"Ative a opção de envio de comprovante por e-mail nas configurações do aplicativo."
40,Existe valor mínimo para Pix agendado?,"Sim, o valor mínimo é definido pelo banco. Consulte sua instituição."
41,Como saber se o Pix agendado está pendente?,"O status 'Pendente' aparecerá no histórico até a execução."
42,Pix agendado pode ser feito para contas digitais?,"Sim, desde que a conta aceite Pix."
43,Como alterar a chave Pix do destinatário em um agendamento?,"Cancele o agendamento e crie um novo com a chave correta."
44,Posso agendar Pix para datas em feriados?,"Sim, mas a execução pode ocorrer no próximo dia útil dependendo do banco."
45,Como saber se o Pix agendado foi programado corretamente?,"Você receberá uma confirmação no app e poderá consultar no histórico."
46,Pix agendado pode ser feito para contas salário?,"Sim, desde que a conta aceite Pix."
47,Como cancelar um Pix agendado após o horário limite?,"Não é possível cancelar após o horário de execução. Entre em contato com o banco para mais informações."
48,Como saber se o Pix agendado foi estornado?,"O status 'Estornado' aparecerá no histórico e o valor será devolvido à sua conta."
49,Posso agendar Pix para contas de pagamento?,"Sim, desde que a conta aceite Pix."
50,Como receber alerta de Pix agendado próximo da execução?,"Ative notificações no app para receber alertas antes da execução."
